sample_id	DATE	TISSUE	Target_depth	median	Cost
230822_Blood	230822	Blood	300	108	55.0
241127_Blood	241127	Blood	300	129	55.0
221026_Blood	221026	Blood	300	123	55.0
221102_Blood	221102	Blood	300	116	55.0
230920_Blood	230920	Blood	300	111	55.0
240911_Blood	240911	Blood	300	115	55.0
240412_3_Blood	240412_3	Blood	300	97	55.0
240325_Blood	240325	Blood	300	144	55.0
240320_Blood	240320	Blood	300	138	55.0
230127_Blood	230127	Blood	300	159	55.0
230405_Blood	230405	Blood	300	110	55.0
240612_Blood	240612	Blood	300	120	55.0
240403_3_Blood	240403_3	Blood	300	92	55.0
230323_11_Blood	230323_11	Blood	300	161	55.0
190524_Blood	190524	Blood	300	139	55.0
230812_Blood	230812	Blood	300	121	55.0
230802_3_Blood	230802_3	Blood	300	96	55.0
231025_Blood	231025	Blood	300	141	55.0
230323_Blood	230323	Blood	300	161	55.0
231206_Blood	231206	Blood	300	138	55.0
241023_Blood	241023	Blood	300	134	55.0
230419_Blood	230419	Blood	300	148	55.0
221026_Tumor	221026	Tumor	300	132	55.0
240320_Tumor	240320	Tumor	300	142	55.0
240403_3_Tumor	240403_3	Tumor	300	156	55.0
240325_Tumor	240325	Tumor	300	108	55.0
231025_Tumor	231025	Tumor	300	103	55.0
230127_Tumor	230127	Tumor	300	144	55.0
240412_3_Tumor	240412_3	Tumor	300	119	55.0
230323_11_Tumor	230323_11	Tumor	300	147	55.0
231206_Tumor	231206	Tumor	300	118	55.0
221102_Tumor	221102	Tumor	300	108	55.0
230920_Tumor	230920	Tumor	300	115	55.0
240911_Tumor	240911	Tumor	300	114	55.0
230419_Tumor	230419	Tumor	300	141	55.0
230822_Tumor	230822	Tumor	300	113	55.0
230802_3_Tumor	230802_3	Tumor	300	166	55.0
190524_Tumor	190524	Tumor	300	96	55.0
241127_Tumor	241127	Tumor	300	126	55.0
241023_Tumor	241023	Tumor	300	131	55.0
240325_Dura	240325	Dura	900	383	159.5
230405_2_Dura	230405_2	Dura	900	301	159.5
190524_Dura	190524	Dura	900	378	159.5
230323_Dura	230323	Dura	900	221	159.5
230323_11_Dura	230323_11	Dura	900	221	159.5
231206_Dura	231206	Dura	900	400	159.5
230920_Dura	230920	Dura	900	369	159.5
240412_3_Dura	240412_3	Dura	900	296	159.5
221026_Dura	221026	Dura	900	305	159.5
221102_Dura	221102	Dura	900	264	159.5
240403_3_Dura	240403_3	Dura	900	326	159.5
230802_3_Dura	230802_3	Dura	900	315	159.5
230405_Dura	230405	Dura	900	243	159.5
230323_2_Dura	230323_2	Dura	900	200	159.5
240320_Dura	240320	Dura	900	384	159.5
230419_Dura	230419	Dura	900	239	159.5
230127_Dura	230127	Dura	900	296	159.5
230419_Ventricle	230419	Ventricle	300	268	55.0
230127_Cortex	230127	Cortex	300	218	55.0
