length	bases	mean	min	max	DATE	TISSUE
50446305	6261721067	124.13	0	2093	190426	Blood
50446305	6816639706	135.13	0	2173	190524	Blood
50446305	7296865098	144.65	0	5362	220930_2	Blood
50446305	6084734471	120.62	0	4445	221026	Blood
50446305	6441855244	127.7	0	852	221102	Blood
50446305	5639973375	111.8	0	1779	221202	Blood
50446305	8601369677	170.51	0	4855	230127	Blood
50446305	4292154282	85.08	0	1313	230303_1	Blood
50446305	8207039116	162.69	0	3420	230323_11	Blood
50446305	8206997469	162.69	0	3436	230323_2	Blood
50446305	6060794371	120.14	0	767	230405_2	Blood
50446305	7279013653	144.29	0	3796	230419	Blood
50446305	5331636502	105.69	0	2220	230526	Blood
50446305	5173487276	102.55	0	1988	230802_2	Blood
50446305	5961043959	118.17	0	2390	230812	Blood
50446305	5371293499	106.48	0	1675	230822	Blood
50446305	5666667913	112.33	0	1817	230920	Blood
50446305	5478829563	108.61	0	2124	231006	Blood
50446305	6942522277	137.62	0	2557	231025	Blood
50446305	9053864656	179.48	0	4584	231101	Blood
50446305	6770589072	134.21	0	2450	231206	Blood
50446305	7189819532	142.52	0	3631	240110	Blood
50446305	6797352910	134.74	0	2826	240320	Blood
50446305	6802229445	134.84	0	2373	240325	Blood
50446305	5006635945	99.25	0	1897	240403_3	Blood
50446305	5181237883	102.71	0	2141	240412_2	Blood
50446305	5946828977	117.88	0	2561	240612	Blood
50446305	5705338323	113.1	0	2094	240911	Blood
50446305	6645228664	131.73	0	2225	241023	Blood
50446305	6411407473	127.09	0	2228	241127	Blood
50446305	21884395065	433.82	0	8959	190426	Dura
50446305	18713256992	370.95	0	5899	190524	Dura
50446305	15933842923	315.86	0	6188	220930_2	Dura
50446305	30254992329	599.75	0	19150	221026	Dura
50446305	14641563960	290.24	0	2035	221102	Dura
50446305	16769585533	332.42	0	5378	221202	Dura
50446305	16086492397	318.88	0	7466	230127	Dura
50446305	18428650439	365.31	0	6228	230303_1	Dura
50446305	11846146109	234.83	0	5123	230323_11	Dura
50446305	10322240341	204.62	0	3113	230323_2	Dura
50446305	15713451174	311.49	0	4379	230405_2	Dura
50446305	13443519043	266.49	0	8451	230419	Dura
50446305	18277664461	362.32	0	7887	230526	Dura
50446305	16903022485	335.07	0	5304	230802_2	Dura
50446305	10404222386	206.24	0	3223	230822	Dura
50446305	18979678334	376.24	0	5978	230920	Dura
50446305	17897430901	354.78	0	6882	231006	Dura
50446305	18760391563	371.89	0	6571	231025	Dura
50446305	17818322229	353.21	0	9104	231101	Dura
50446305	19534088156	387.23	0	6786	231206	Dura
50446305	15209496668	301.5	0	7170	240110	Dura
50446305	18935721326	375.36	0	7777	240320	Dura
50446305	18841428345	373.49	0	6069	240325	Dura
50446305	17174368081	340.45	0	5988	240403_3	Dura
50446305	15940902405	316.0	0	6456	240412_2	Dura
50446305	18913376212	374.92	0	5990	241023	Dura
50446305	6388800971	126.65	0	2250	190426_FFT	Tumor
50446305	6036031905	119.65	0	2189	190426_PCT	Tumor
50446305	7326676756	145.24	0	2685	190426_PFT	Tumor
50446305	6608730330	131.01	0	2246	190426_PP	Tumor
50446305	5721739945	113.42	0	1979	190426_PT	Tumor
50446305	4942729573	97.98	0	1562	190524	Tumor
50446305	6365425886	126.18	0	3681	220930_2	Tumor
50446305	6637410022	131.57	0	3965	221026	Tumor
50446305	6202062531	122.94	0	1015	221102	Tumor
50446305	5677545710	112.55	0	1810	221202	Tumor
50446305	7189298017	142.51	0	3335	230127	Tumor
50446305	5053062457	100.17	0	1499	230303_1	Tumor
50446305	7571245891	150.09	0	2678	230323_11	Tumor
50446305	6590557928	130.65	0	2695	230323_2	Tumor
50446305	6617338243	131.18	0	924	230405_2	Tumor
50446305	7528266101	149.23	0	3128	230419	Tumor
50446305	5800864863	114.99	0	2613	230526	Tumor
