concor	220930_Blood	220930_Dura	220930_Tumor	221026_Blood	221026_Dura	221026_Tumor	221102_Blood	221102_Dura	221102_Tumor	230822_Blood	230822_Dura	230822_Tumor	230920_Blood	230920_Dura	230920_Tumor	231101_Blood	231101_Dura	231101_Tumor	240110_Blood	240110_Dura	240110_Tumor
220930_Blood	100	82.91	78.38	20.74	18.8	20.37	14.69	16.55	13.68	13.12	16.29	13.67	14.17	16.68	14.63	14.65	16.89	13.32	12.62	15.61	9.35
220930_Dura	82.91	100	71.66	18.78	21.16	19.23	15.01	18.43	13.82	13.06	17.6	13.73	14.21	18.39	14.84	15.16	18.13	13.64	13.0	16.81	9.39
220930_Tumor	78.38	71.66	100	19.92	16.83	20.29	14.12	14.92	13.09	12.56	14.94	13.08	13.32	14.89	13.78	13.9	15.57	12.9	12.2	14.73	9.43
221026_Blood	20.74	18.78	19.92	100	61.7	79.79	13.97	14.93	13.04	12.39	14.48	13.0	13.82	15.29	14.38	13.49	15.13	12.36	12.73	15.09	9.94
221026_Dura	18.8	21.16	16.83	61.7	100	64.33	14.45	20.25	13.41	12.25	18.16	13.11	13.74	20.53	14.66	14.44	18.23	12.75	12.96	17.79	9.22
221026_Tumor	20.37	19.23	20.29	79.79	64.33	100	13.74	15.21	12.88	12.41	14.74	13.01	13.6	15.58	14.23	13.55	15.35	12.58	12.63	15.46	10.0
221102_Blood	14.69	15.01	14.12	13.97	14.45	13.74	100	56.15	71.25	15.19	15.74	15.64	15.6	14.95	15.8	15.56	16.4	14.57	14.58	15.53	11.52
221102_Dura	16.55	18.43	14.92	14.93	20.25	15.21	56.15	100	50.11	13.26	20.34	14.15	14.02	21.41	14.72	14.99	19.28	13.09	12.94	17.93	8.9
221102_Tumor	13.68	13.82	13.09	13.04	13.41	12.88	71.25	50.11	100	13.68	14.37	14.31	14.35	13.62	14.76	14.39	14.95	13.68	13.61	14.15	10.81
230822_Blood	13.12	13.06	12.56	12.39	12.25	12.41	15.19	13.26	13.68	100	55.28	79.05	19.57	14.17	18.92	15.32	15.14	14.89	14.76	14.75	12.51
230822_Dura	16.29	17.6	14.94	14.48	18.16	14.74	15.74	20.34	14.37	55.28	100	59.91	16.2	21.55	16.73	15.93	19.79	14.08	13.82	18.86	9.78
230822_Tumor	13.67	13.73	13.08	13.0	13.11	13.01	15.64	14.15	14.31	79.05	59.91	100	19.73	14.94	19.8	16.11	16.16	15.41	15.21	15.55	12.26
230920_Blood	14.17	14.21	13.32	13.82	13.74	13.6	15.6	14.02	14.35	19.57	16.2	19.73	100	53.34	80.41	16.2	16.41	15.82	16.14	16.33	13.25
230920_Dura	16.68	18.39	14.89	15.29	20.53	15.58	14.95	21.41	13.62	14.17	21.55	14.94	53.34	100	57.24	15.59	20.29	13.66	13.73	19.4	9.54
230920_Tumor	14.63	14.84	13.78	14.38	14.66	14.23	15.8	14.72	14.76	18.92	16.73	19.8	80.41	57.24	100	16.91	17.49	16.23	16.29	17.1	13.01
231101_Blood	14.65	15.16	13.9	13.49	14.44	13.55	15.56	14.99	14.39	15.32	15.93	16.11	16.2	15.59	16.91	100	67.21	73.39	17.41	17.83	13.45
231101_Dura	16.89	18.13	15.57	15.13	18.23	15.35	16.4	19.28	14.95	15.14	19.79	16.16	16.41	20.29	17.49	67.21	100	57.1	15.91	21.25	11.52
231101_Tumor	13.32	13.64	12.9	12.36	12.75	12.58	14.57	13.09	13.68	14.89	14.08	15.41	15.82	13.66	16.23	73.39	57.1	100	17.41	16.07	14.53
240110_Blood	12.62	13.0	12.2	12.73	12.96	12.63	14.58	12.94	13.61	14.76	13.82	15.21	16.14	13.73	16.29	17.41	15.91	17.41	100	60.95	57.05
240110_Dura	15.61	16.81	14.73	15.09	17.79	15.46	15.53	17.93	14.15	14.75	18.86	15.55	16.33	19.4	17.1	17.83	21.25	16.07	60.95	100	39.6
240110_Tumor	9.35	9.39	9.43	9.94	9.22	10.0	11.52	8.9	10.81	12.51	9.78	12.26	13.25	9.54	13.01	13.45	11.52	14.53	57.05	39.6	100
