,SP110242,SP17172,SP18121,SP18310,SP19215,SP21017,SP22383,SP96118,SP96133,SP114330,SP119755,SP16934,SP16958,SP17016,SP17294,SP17329,SP17430,SP18787,SP19582,SP19606,SP19670,SP19750,SP19983,SP20993,SP21057,SP21193,SP21528,SP22750,SP23078,SP80271,SP80367,SP80423,SP80657,SP80754,SP80950,SP81137,SP81172,SP81440,SP81494,SP81711,SP81840,SP82087,SP82103,SP96110,SP96112,SP96114,SP96116,SP96120,SP96122,SP96124,SP96126,SP96129,SP16886,SP17905,SP18946,SP19295,SP21400,SP22031,SP80615,SP81312
Sig1,11368.266934821802,0.0,0.0,0.0,512.2818182630787,13256.24082717331,10344.422218033076,2050.376369626391,9030.322427634324,266.8619340250037,5123.466667715437,2600.338525704129,3173.6656971164316,3466.2842711780268,3970.0370075028663,0.0,23.31669674028903,6435.617408002415,451.4562912552444,0.0,4959.953017378292,1150.5907384390152,3690.406338017438,1604.875486189741,2457.6927607883317,701.8276043085854,1111.5064729302376,1406.4458344961245,556.0513741152836,1359.9459627657955,1333.6330202226732,598.9187081738579,0.0,446.8318752569551,1534.855308128769,0.0,1260.2401033762974,862.4440085827782,95.98378761956387,2259.5004485336985,1026.9229979660192,0.0,401.5869439558987,3179.7141599210036,90.0218071196505,2579.265407429333,6416.415410828305,8901.375278386326,9651.173420601666,1405.2663997450152,3842.851545219575,1084.324475634755,0.0,0.0,52655.352212961145,12475.861230815519,0.0,2535.209768868537,0.0,6690.775841351978
Sig2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.61574204931038,233.97763507947533,108.7255041358883,87.78382684001393,0.0,0.0,2.925153119191942,155.06787026677233,86.98958317854145,0.0,171.9759991016525,94.25604808423464,197.32128145473638,125.61616713619775,74.93309440320354,0.0,89.07997957878518,0.0,0.0,0.0,64.44032783406415,0.0,0.0,0.0,0.0,0.0,17.827163117441707,41.01421979703202,170.76313508526636,34.318595023457156,115.06731647351027,69.54607222453507,85.32758864040913,238.931824402201,163.92584471170133,367.32057743890346,0.0,13.189666102197227,0.0,182.8147187199017,62.77160344590111,339.78706869274765,19.031525886380855,178.53028641697992,73.62264537872798,699352.0223868884,1538989.2497931214,723073.6863171215,217181.58438366535,261603.24775439623,202225.48943956933,1744574.8185470128,351556.4219722964
Sig3,0.0,0.0,3407.1350440649235,0.0,0.0,295.6725046983636,0.0,0.0,0.0,0.0,0.0,86.53446775346498,0.0,6.149036408629548,0.0,0.0,0.0,260.5800621834061,70.36373381791866,0.0,0.0,1.488463939928783,274.4128284378281,183.82119413730294,0.0,0.0,277.4545343580434,13.327844901261665,171.0908154595234,80.20546503407965,0.0,146.7942374749372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.5515291512371,0.0,0.0,0.0,0.0,0.0,83.30249315177197,0.0,0.0,0.0,220.41082351396716,2.978665391519556,50.44316299793735,2263.6313665551443,0.0,66672.61497022946,31019.811585880077,386655.35858610645,24020.085941431655,16290.981041729858,493401.582187389
Sig4,156.40054598390648,8985.62597353645,0.0,272.28684335349357,4335.690228980225,2745.8601415521953,11654.08294394853,0.0,6830.380672492014,76.02517696825406,1381.8249407366413,7937.0107104274475,2414.4506478130884,1517.1196602930763,14416.875256839798,282.6782598816187,298.7777408924063,559.7287674869676,1106.38611467925,17758.13097693482,0.0,25.540334456171284,4632.121330184515,720.4670847367755,271.58910482295,2895.914861224874,61.42808217473109,29.801650689307078,401.75258144360055,4362.68340759266,0.0,383.0245341773855,221.47883051805235,0.0,143.2921598118244,1169.6603136033955,0.0,249.93109303862622,0.0,116.42931154361624,367.47852717792017,106.93837905957416,0.0,359.1060800056453,6.120701064627251,1870.012366981111,0.0,3306.8127408637934,110.37486290037933,72.22442287703457,875.255311320997,413.48234499572453,0.0,22339.35667569955,3249.9954428554406,0.0,0.0,0.0,48681.609531041984,0.0
Sig5,2486.8580729499577,802.4395677351239,0.0,0.0,940.7779587411318,0.0,0.0,0.0,0.0,0.8680806453379096,0.0,0.0,0.0,86.22221163359666,161.27096226740224,171.47309044925518,76.0612617333649,93.8646798593331,0.0,858.9750891774136,0.0,0.0,0.0,309.08003350589956,345.17200725389944,0.0,51.80419768057565,232.29593391817286,0.0,371.63006936797126,0.0,40.64843947128054,48.17384903430441,0.0,144.86627206842235,1058.073257987784,290.6626118919646,0.0,0.0,0.0,262.2981993775216,0.0,0.0,128.60773029443942,89.61482198434622,292.3931384282207,13.556718550574566,214.36107132130792,0.0,0.0,0.0,0.0,172496.33657430677,714784.3161621493,0.0,0.0,182428.34418013063,0.0,645889.3158276852,0.0
Sig6,31974.184257459394,9942.145790536368,132247.67344443494,0.0,50103.866499841286,15834.657967088855,34054.80503959656,1178.0477319309189,15025.653204544235,9.95783643425944,784.4468710362867,648.6021250830247,209.95082071430133,677.8568556438138,0.0,592.2872565377077,376.09303923700963,0.0,332.18306108509887,0.0,0.0,161.22435700742253,112.1600177881235,213.8254071478657,1014.5811124281597,119.94806774586382,250.99845150271616,122.9559887892609,0.0,172.18709951214186,1296.153320706468,375.59923427009477,84.2116879592434,0.0,320.70657494613977,0.0,943.809036724703,191.36954601255013,0.0,27.358391705752197,247.83420707433865,0.0,589.913528540373,401.81122928371155,0.0,0.0,0.0,1094.1255360838331,794.6483321769452,109.89582291124138,725.5790773916021,282.7663898532619,0.0,49182.13981559623,119255.65549146757,2657.8166049508277,0.0,0.0,0.0,0.0
Sig7,0.0,9670.53700284585,3329.241400269167,12063.991940172155,0.0,0.0,0.0,0.0,0.0,6947.143469025433,5911.729494423976,2783.083467859751,9236.210392714265,5622.984341871228,4000.395297090184,5696.863267029508,5135.2394705291135,9248.147035768188,3454.7594730705455,549.2028490091618,6188.251001294299,3421.0130405785894,6583.670596265623,5368.765129754166,4658.191922088016,6154.614155617527,7887.176341332513,8286.70474029732,3542.0231694786876,3970.0854924645764,1408.6550817479638,5588.392880896718,6228.355511143845,5035.377338574161,4806.651338703282,1197.7600652603699,2734.055250161145,4298.221356033419,5756.256898157206,7016.302668162354,4241.978878171962,6552.233062774209,6764.690300153649,5244.189913442561,4062.3501986586925,8091.489702029232,6051.040520405096,4658.080996862982,6831.898218259139,5705.104011312467,7709.995369454849,5717.853139811059,0.0,0.0,0.0,1874.0628791720396,0.0,9584.224696618312,0.0,0.0
Sig8,60650.1282254571,91900.10101481939,18440.38394492648,98646.22074032613,38947.65012377549,57163.1026660361,41487.80187957766,20101.85563971119,44482.95462644053,1824.337797791527,353.85943315021996,0.0,1639.4711443828473,0.0,1524.383937354169,215.74390122249906,671.4453624409106,1976.7653577065673,268.9446490206703,0.0,545.1439810642878,1133.4001467830315,1250.416918536731,2518.022866861938,1665.8397094018933,1443.647569243757,1394.0791507066308,1817.4295904418104,450.1828848264039,948.1697384120268,609.3266583124888,667.6570297214863,1567.1779235263316,783.9975573386092,0.0,2184.53738867075,259.7130162766537,622.4819387034537,170.3692587735255,1943.1257668833996,2733.1165124182035,1887.818316895117,536.62595451541,791.2593185570057,1067.8167102341206,1720.6517038795662,0.0,76.9833587279437,650.0072200938615,1361.133377181385,2473.6631023798604,1303.4786748214967,0.0,0.0,20200.487223795353,8349.565880966062,0.0,0.0,5870.457256967657,0.0
Sig9,10438.963097954751,0.0,0.1974584330674739,0.0,175.5926741974698,820.2710497820742,0.0,143.062828367312,0.0,26.657712756942978,409.2407635614352,0.0,307.7245744209131,233.7015779943043,0.0,101.86359227921075,55.58656430566433,0.0,254.37144151607484,0.0,0.0,158.60993375995014,0.0,0.0,205.95821499123377,560.6313816778155,0.0,61.365778011901874,551.399953877615,0.0,1060.5191792954795,586.1119561651435,0.0,0.0,487.13251751340306,136.68463545555497,375.24734749868895,516.0867167583799,21282.01473776706,969.543336962083,824.4353116582374,381.52097704139294,200.93706897954544,0.0,76.26081349699771,0.0,17.729783460922366,66.04723462096192,0.0,56.30454302830984,876.887446376249,7.384798269235641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sig10,0.0,0.0,5447.623512264381,0.0,0.0,0.0,0.0,0.0,0.0,468.00129785964094,2483.2932672427905,2344.436569111827,0.0,307.9117220941691,1937.9841405844036,911.3927232087527,888.7447448793533,0.0,1581.0578953769593,5668.0468181355445,0.0,539.8239088021663,4205.0494366812645,5670.708692061757,3782.9281236962875,347.91365390478467,808.0452083992553,180.435191533364,6326.639283204223,1029.5384072618697,11411.276582212666,1347.8981206199726,944.4183371837503,0.0,0.0,13915.618004864004,6876.906255259818,866.0093905732172,0.0,2868.218853647964,521.3297771196146,3833.316560461735,0.0,1151.8149587293087,0.0,1783.8576251694817,0.0,3984.932655469789,282.22287271644996,442.8056322279331,929.9558488193775,1073.4202916857248,12374.907566356129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
